Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
DOM/2016/MA_WGS16_020,Ky785460,2016-06-30,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785460,2016.50,Genbank,2016-06-30
Saint_Barthelemi_Rus_6BRN_2016,Mf098767,2016-07-25,North America,Saint Barthelemy,Saint Barthelemy,Karan Et Al,Unpublished,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,https://www.ncbi.nlm.nih.gov/nuccore/MF098767,2016.56,Genbank,2016-07-25
Brazil/2016/ZBRY11,Ky559029,2016-01-01,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY559029,2016.00,Genbank,2016-01-xx
Brazil/2016/ZBRY14,Ky817930,2016-01-01,South America,Brazil,Brazil,Faria Et Al,Nature 546  7658  406-410  2017 ,Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY817930,2016.08,Genbank,2016-01-xx
DOM/2016/BB_0216,Ky014302,2016-04-21,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014302,2016.30,Genbank,2016-04-21
DOM/2016/BB_0180,Ky014304,2016-04-18,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014304,2016.30,Genbank,2016-04-18
mosquito/Haiti/1682/2016,Mf384325,2016-05-17,North America,Haiti,Haiti,White Et Al,Unpublished,Isolation Of Zika Virus From Mosquitoes In Haiti,https://www.ncbi.nlm.nih.gov/nuccore/MF384325,2016.38,Genbank,2016-05-17
PHE_Guadeloupe,Kx673530,2016-04-21,North America,Guadeloupe,Guadeloupe,Atkinson Et Al,Unpublished,Complete Genomic Sequence Of Zika Virus Isolated From A Clinical Semen Sample,https://www.ncbi.nlm.nih.gov/nuccore/KX673530,2016.30,Genbank,2016-04-21
Haiti/0054/2014,Ky415988,2014-06-05,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415988,2014.42,Genbank,2014-06-05
Haiti/0033/2014,Ky415987,2014-05-29,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415987,2014.41,Genbank,2014-05-29
Haiti/0036/2014,Ky415990,2014-06-02,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415990,2014.42,Genbank,2014-06-02
Haiti/0029/2014,Ky415986,2014-05-29,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415986,2014.41,Genbank,2014-05-29
Haiti/0074/2014,Ky415989,2014-06-10,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415989,2014.44,Genbank,2014-06-10
Haiti/0097/2014,Ky415991,2014-06-24,North America,Haiti,Haiti,White Et Al,Unpublished,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,https://www.ncbi.nlm.nih.gov/nuccore/KY415991,2014.48,Genbank,2014-06-24
Cuba_2017,Mf438286,2017-02-12,North America,Cuba,Cuba,Lasala-sanchez Et Al,Unpublished,Zika Virus Polyprotein Sequence Isolated From A Fetus-brain Of Cuba Pregnant Traveler Diagnosed In Spain  Madrid ,https://www.ncbi.nlm.nih.gov/nuccore/MF438286,2017.11,Genbank,2017-02-12
DOM/2016/BB_0433,Ky785441,2016-06-13,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785441,2016.45,Genbank,2016-06-13
USVI/28/2016,Vi28,2016-11-28,North America,USVI,Saint Croix,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/,2016.91,Fh,2016-11-28
USVI/42/2016,Vi42,2016-10-26,North America,USVI,Saint Croix,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/,2016.82,Fh,2016-10-26
USVI/20/2016,Vi20,2016-10-13,North America,USVI,Saint Croix,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/,2016.78,Fh,2016-10-13
USVI/19/2016,Vi19,2016-11-21,North America,USVI,Saint Croix,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/tree/master/data,2016.89,Fh,2016-11-21
USVI/41/2016,Vi41,2016-11-10,North America,USVI,Saint Croix,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/tree/master/data,2016.86,Fh,2016-11-10
DOM/2016/MA_WGS16_013,Ky785473,2016-06-15,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785473,2016.45,Genbank,2016-06-15
DOM/2016/BB_0091,Ky785475,2016-04-07,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785475,2016.27,Genbank,2016-04-07
Dominican_Republic/2016/ZB,Mf664436,2016-08-25,North America,Dominican Republic,Dominican Republic,Prilipov Et Al,Submitted  13-aug-2017  Molecular Genetics Ivanovsky Virilogy Institute Gamalei Centre Of Microbiology And Epidemiology Gamalei Str. 16 Moscow 123098 Russia,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/MF664436,2016.65,Genbank,2016-08-25
Dominican_Rep_Rus_8ZBR_2016,Mf098769,2016-08-25,North America,Dominican Republic,Dominican Republic,Karan Et Al,Unpublished,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,https://www.ncbi.nlm.nih.gov/nuccore/MF098769,2016.65,Genbank,2016-08-25
Dominican_Rep_Rus_7EGR_2016,Mf098768,2016-08-25,North America,Dominican Republic,Dominican Republic,Karan Et Al,Unpublished,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,https://www.ncbi.nlm.nih.gov/nuccore/MF098768,2016.65,Genbank,2016-08-25
DOM/2016/BB_0071,Ky785449,2016-04-05,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785449,2016.26,Genbank,2016-04-05
DOM/2016/BB_0436,Ky014314,2016-06-14,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014314,2016.45,Genbank,2016-06-14
DOM/2016/MA_WGS16_014,Ky785470,2016-06-18,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785470,2016.46,Genbank,2016-06-18
DOM/2016/BB_0115,Ky014321,2016-04-11,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014321,2016.28,Genbank,2016-04-11
Dominican_Republic/2016/PD1,Ku853012,2016-02-01,North America,Dominican Republic,Dominican Republic,Barzon Et Al,Euro Surveill. 21  10   2016 ,Isolation Of Infectious Zika Virus From Saliva And Prolonged Viral Rna Shedding In A Traveller Returning From The Dominican Republic To Italy January 2016,https://www.ncbi.nlm.nih.gov/nuccore/KU853012,2016.08,Genbank,2016-02-01
